titre,domaine,type_news
حقيقة الصورة المنسوبة لمكة المكرمة عام 1860م. ...,"دينية, سياسي",اشاعة
حقيقة الخبر المتداول عن تغيير الأذان في الشارقة بأمر من حاكم الشارقة ...,"دينية, سياسي",اشاعة
حقيقة الفيديو المتداول عبر جماعة الحوثي بعنوان «شاب سعودي يرش الكعبة بالخمر ...,,اشاعة
حقيقة ما يتداول عن وفيات وإصابات بسبب تدافع في المسجد النبوي ...,سياسي,اشاعة
حقيقة القصة المتداولة عن عامل نظافة ثري يمتلك عدة فنادق ويعمل بالمسجد الحرا ...,دينية,اشاعة
حقيقة “إحتراق صالة قمار وبيع الخمور بالسعودية” ...,سياسي,اشاعة
حقيقة الرسالة المتداولة عن تهريب شاحنات محملة بشمام قامت إسرائيل بحقنها بفي ...,"اجتماعية, سياسي",اشاعة
حقيقة منع رفع علم فلسطين بالحرم بالمكي,"دينية, سياسي",اشاعة
حقيقة الخطاب المتداول مجدداً بعنوان “عدم المساس بأي شخص مفطر في شهر رمضان” ...,سياسي,اشاعة
حقيقة المقطع المتداول عبر الواتساب عن غرق سفينة بعد استهدافها من قبل الحوثي ...,سياسي,اشاعة
حقيقة الفيديو المتداول عن شاب يعتدي بالضرب على وزيرة أميركية بسبب الحرب في ...,سياسي,اشاعة
حقيقة الفيديو المتداول بعنوان “شيخ سعودي كان يدعو لفلسطين وفي نصف الم ...,سياسي,اشاعة
تناول ماء الحمص لا يعالج رائحة الفم الكريهة ولا ينظف القولون من السموم,,مضلل
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذه الصورة تعود لاستعراض عسكري في كوريا الشمالية عام 2017 وليست للقوات المسلحة الإيرانية,,مضلل
هذه الصورة لا تظهر تنبؤ مسلسل سيمبسون بحادثة انهيار جسر بالتيمور ولم تعرض في أي من حلقات المسلسل,,زائف
قبطان السفينة التي تسببت بانهيار جسر “فرانسيس سكوت كي” في بالتيمور كان هنديًّا وليس أوكرانيًّا,,مضلل
هذا المقطع متداول منذ عام 2014 على الأقل، ولا يظهر منصات صواريخ نصبها الجيش السوداني قرب ولاية الجزيرة مؤخرًا,,مضلل
هذه الصورة لا تبين توجه شاحنات عسكرية إيرانية نحو سوريا، بل تعود لاحتفالات يوم الجيش في إيران عام 2019,,مضلل
هذه الصورة مفبركة وليست لطائرة بدون طيار مغربية الصنع، بل لطائرات تحمل علم سويسرا,,مضلل
هذه الصورة من مناورات البحرية الروسية في بحر البلطيق عام 2018، وليست لأسطول روسي عبر مضيق باب المندب مؤخرًا,,مضلل
هذا الادعاء زائف ولا يمكن القضاء على السرطان بمشروب بيكربونات الصوديوم والسكر,,زائف
ادعاءات زائفة وخرافات متداولة عن الأدرينوكروم بأنه يستخرج من دماء الأطفال وأنه يحافظ على شباب الإنسان,,زائف
هذا المقطع متداول منذ عام 2017، ولا يصور تدمير القوات المصرية آليات عسكرية تابعة لقوات الدعم السريع مؤخرًا,,مضلل
لا صحة لهذا الخبر المتداول حول انقطاع الانترنت في العراق وباقي الدول بسبب عاصفة مغناطيسية,,زائف
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
تناول ماء الحمص لا يعالج رائحة الفم الكريهة ولا ينظف القولون من السموم,,مضلل
هذا المقطع يظهر عملاً فنياً وليس كتابًا باسم “Morisa” غلافه مصنوع من جلد إنسان,,مضلل
هذه المعلومات المتداولة حول مشروع هارب واستخدامه كسلاح للتحكم بالطقس والتسبب بكوارث طبيعية غير صحيحة,,زائف
هذا المقطع مفبرك، والمقطع الأصلي لا يظهر الرئيس الفرنسي إيمانويل ماكرون يرقص في شبابه,,زائف
هذه الصورة ليست لمكة المكرمة عام 1860 بل لموقع تصوير سينمائي يحاكي مكة المكرمة في إيران,,مضلل
هذا المقطع يظهر قصفًا طال سفينتين روسيتين في شبه جزيرة القرم، وليس من القصف الإسرائيلي الأخير على مدينة بعلبك,,مضلل
هذا المقطع مصور في معرض ترفيهي خاص بعالم هاري بوتر، ونبات الماندراكورا الحقيقي لا يصرخ عند استخراجه,,مضلل
لا وجود لكتاب يدعى “مثلث التوحيد”، والنسخة المتداولة من هذا الكتاب تعود للشاعر الروماني فيرجيل وليس كتاب ديني,,زائف
هذا المقطع يصور مظاهرة في ساحة العاصي في حماة عام 2011 وليس حديثًا,,مضلل
هذا الفيديو يظهر مظاهرة قديمة في مدينة قوص في محافظة قنا عام 2019 وليست لمظاهرات خرجت حديثًا,,مضلل
هذه الصورة تعود للقنصلية البريطانية في تركيا عام 2022، ولا صحة لخبر تنكيس الأعلام في بريطانيا مؤخرًا,,مضلل
هذه الصور من صنع برامج الذكاء الاصطناعي، ولا تظهر مهرجانًا لأكل البرسيم والحشائش في سنغافورة,,زائف
هذا المقطع يصور مشاهد من احتفالية يوم الباستيل عام 2021، وليس لتحرك قوات فرنسية قرب حدود روسيا مؤخرًا,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذا المقطع يصور مشاهد تمثيلية من مسلسل برازيلي وليس لمواجهات بين أنصار سيلفا وبولسونارو,,مضلل
هذه المشاهد قديمة ومركبة، ولا تصور تظاهرة حديثة خرجت في مصر مطالبة برحيل السيسي,,زائف
هذه الصورة تظهر طائرة بموقف مطار زيورخ في سويسرا ولا تبين هبوط طائرة بمطار المخاء في اليمن مؤخرا,,مضلل
انقطاع الإنترنت في عدد من دول أفريقيا نتج عن عطل يجري إصلاحه، ولا صحة لخبر انقطاعه عن دول آسيا,,مضلل
هذا المقطع مقتبس من لعبة إلكترونية، ولا يصوّر استهداف الحوثي بارجة أمريكية في البحر الأحمر مؤخرًا,,مضلل
هذه الصور التي تظهر تصميمًا فاخرًا لطائرة بوينغ 747 هي من نتاج الذكاء الاصطناعي وليست واقعية,,مضلل
هذا الفيديو لا يظهر احتراق صالة قمار وبيع خمر في السعودية، بل مشاهد تمثيلية عرضت في مهرجان ليالي القيصرية 2024,,مضلل
هذا المقطع قديم لطالبات من المغرب أصبن بحالة هستيريا جماعية، ولا يصور طلابًا بعد تعاطيهم المخدرات في جامعة آزاد,,مضلل
هذه الصور قديمة وتعود لأحداث مختلفة، ولا تبين وصول قوات بريطانية وأمريكية مشتركة إلى الساحل الغربي في اليمن,,مضلل
هذا الفيديو لا يظهر حرائق مفتعلة في الغابات، بل لتقنية الحرائق الموصوفة التي تحافظ على الغابات والبيئة,,مضلل
منتجات غير مصرّحة من هيئة الغذاء والدواء يتم تداولها على أنها فعّالة في إنقاص الوزن دون أدلة علمية مثبتة,,زائف
هذا المقطع معدل رقميًا وغير حقيقي، ولا يبين شعاع ليزر تسبب في حرائق غابات ولاية تكساس الأمريكية مؤخرًا,,زائف
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذه الصورة تظهر احتراق سفينة إيطالية عام 2019 وليس للسفينة التي أعلن الحوثيين استهدافها حديثًا,,مضلل
هذه الصورة لاحتراق سفينة في خليج عدن عام 2006، وليس للسفينة التي أعلن الحوثيون استهدافها حديثًا,,مضلل
هذه الصورة تعود للمدمرة الأمريكية كول التي استهدفت عام 2000 وليس لسفينة حربية استهدفها الحوثيين مؤخراً,,مضلل
هذا الفيديو لا يظهر نشر الأسلحة النووية في جميع أنحاء روسيا، بل يعود لتحضيرات لعرض عسكري في موسكو بمناسبة عيد النصر,,مضلل
هذه المنشورات التي تروج لروابط تسجيل لتوزيع مساعدات ومعونات غذائية زائفة وغير حقيقية,,زائف
هذا المقطع قديم، ويظهر فشل الفرقاطة الألمانية ساكسون إطلاق صاروخ أثناء تدريب قبالة سواحل النرويج عام 2018,,مضلل
هذه الصورة نتاج الذكاء الاصطناعي وليست لطائرة تابعة للخطوط الجوية الإيرانية في سبعينيات القرن الماضي,,زائف
هذه الصورة ليست لقناصٍ من وحدة المهام الخاصة الفرنسية قتل في غزة مؤخراً، بل متداولة منذ 2005 على أنها من العراق,,مضلل
هذا المقطع مركب وغير حقيقي، ولا يظهر طفلًا فلسطينيًا يُبكي لجنة التحكيم في برنامج المواهب الأمريكي,,زائف
هذا المقطع يظهر الرئيس البرازيلي يبكي عندما تحدث عن الجوع في بلاده في كلمة ألقاها عام 2022 وليس خلال تصريحاته المؤيدة لفلسطين,,مضلل
هذا الفيديو لا يظهر حورية البحر، بل مجسم ثلاثي الأبعاد غير حقيقي يستخدم في أحد الأعمال الفنية,,مضلل
هذا المقطع يظهر عثور غواص على صندوق يحتوي رفات بشرية وليس نسخة قديمة من القرآن,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذه الصورة تظهر غواصة في معرض عسكري في كوريا الجنوبية، وليست لغواصة يمنية الصنع,,مضلل
هذه الصورة تعود لاحتراق منصة نفط عام 2010 في خليج المكسيك وليس للسفينة البريطانية التي أعلن الحوثيون استهدافها في البحر الأحمر,,مضلل
هذا المقطع متداول منذ عام 2020 لغرق سفينة كورية، ولا يبين غرق السفينة روبيمار التي استهدفها الحوثي مؤخرًا,,مضلل
هذا الفيديو ليس لغرق سفينة “روبيمار” التي اعلن الحوثيون استهدافها مؤخرًا، بل متداول على أنه لغرق سفينة أتلانتيك كونفيدانس عام 2013,,مضلل
هذه الصورة متداولة منذ سبتمبر 2020 في لبنان، وليست لسفينة أمريكية مشتعلة في البحر الأحمر مؤخراً,,مضلل
الرجل الظاهر في المقطع هو المتحدث التحفيزي الصيني تشين تشو، وليس مؤسس منصة التيكتوك,,مضلل
هذه الصورة مفبركة والصورة الأصلية تظهر رئيس الوزراء الهندي وهو يأكل طبقًا محلّيًا في الهند وليس الروث,,زائف
هذا المقطع معدل عبر الحاسوب ولا يصوّر رجلًا آليًّا حقيقيًّا يشارك في حصاد المحاصيل الزراعية في اليابان,,زائف
هذه الصورة مفبركة، ولا تبين خروج سكان ولاية تلمسان الجزائرية للمطالبة بضمهم إلى المغرب,,زائف
هذه الصور قديمة وليست للسفن البريطانية والأمريكية التي أعلن الحوثيين استهدافها في البحر الأحمر مؤخرًا,,مضلل
هذه الصورة لأكوام القش أمام برج إيفل ليست من احتجاجات المزارعين في فرنسا بل من صنع الذكاء الاصطناعي,,مضلل
هذا الفيديو معدل رقميًّا، ولا صحة لخبر اكتشاف أسماك بوجوه تشبه البشر في بحيرة تدعى “سامسارا”,,زائف
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذه الصورة قديمة وتعود لعام 2021 ولا تظهر وصول فريق طبي نفسي إماراتي لمعالجة جنود الجيش الإسرائيلي,,مضلل
